,switch_list,icon_list,button_list,card_list,checkbox_list
componentProps/sx/cursor,0,1,0,1,0
componentProps/sx/minHeight,0,0,1,1,0
componentProps/active,0,1,0,0,0
componentProps/sx/diaplsy,0,0,1,0,0
componentProps/sx/bgColor,0,0,1,0,0
componentProps/sx/& .MuiButton-startIcon/mb,0,0,1,0,0
componentProps/sx/borderColor,0,0,1,0,0
componentProps/sx/boxShadow,0,0,1,1,0
componentProps/elevation,0,0,0,1,0
componentProps/style/textTransform,0,0,1,0,0
componentProps/sx/justifyContent,0,0,1,1,0
componentProps/sx/my,0,1,1,1,0
componentProps/sx/ml,0,1,1,1,0
componentProps/sx/& .MuiSwitch-switchBase/&.Mui-checked/& + .MuiSwitch-track/backgroundColor,1,0,0,0,0
componentProps/sx/color,0,1,1,1,1
componentProps/sx/px,0,1,1,1,0
componentProps/completed,0,1,0,0,0
id,1,1,1,1,1
componentProps/sx/verticalAlign,0,1,0,0,0
componentProps/style/height,0,0,1,0,0
componentProps/sx/left,0,1,1,0,0
componentProps/sx/pb,0,1,0,1,0
componentProps/sx/diaplay,0,0,1,0,0
componentProps/sx/borderTopLeftRadius,0,0,1,0,0
componentProps/sx/& .MuiSwitch-switchBase/&.Mui-checked/color,1,0,0,0,0
componentProps/sx/mt,0,1,1,1,1
componentProps/mt,0,1,1,0,0
componentProps/sx/& .css-1d6wzja-MuiButton-startIcon>*:nth-of-type(1)/fontSize,0,0,1,0,0
componentProps/sx/opacity,0,1,0,0,0
componentProps/sx/height,0,1,1,1,0
componentProps/size,1,0,1,0,1
componentProps/sx/width,0,1,1,1,0
componentProps/sx/position,0,1,1,1,0
componentProps/variant,0,0,1,1,0
componentProps/sx/flexGrow,0,1,0,1,0
componentProps/sx/&:hover /color,0,0,1,0,0
componentProps/sx/paddingTop,0,0,1,0,0
componentProps/style/fontSize,0,0,1,0,0
componentProps/inputProps/aria-label,0,0,0,0,1
componentProps/icon,0,1,0,0,0
componentProps/sx/m,0,1,1,1,1
componentProps/sx/mx,0,1,1,1,0
componentProps/sx/letterSpacing,0,0,1,0,0
componentProps/sx/& .MuiButton-startIcon/verticalAlign,0,0,1,0,0
componentProps/sx/pr,0,1,1,1,0
componentProps/sx/borderBottom,0,0,1,0,0
componentProps/sx/spacing,0,0,1,0,0
componentProps/sx/padding,0,1,1,1,0
componentProps/fullWidth,0,1,1,0,0
componentProps/error,0,1,0,0,0
componentProps/sx/paddingBlock,0,0,1,0,0
componentProps/color,1,1,1,0,1
componentProps/sx/fontSize,1,1,1,0,0
componentProps/fontSize,0,1,0,0,0
componentProps/sx/marginInline,0,1,0,0,0
componentProps/varient,0,0,1,0,0
componentProps/component,0,0,0,1,0
componentProps/sx/borderLeft,0,0,0,1,0
componentProps/sx/textDecoration,0,0,1,0,0
componentProps/sx/&:hover/bgcolor,0,0,1,0,0
componentProps/sx/paddingInline,0,0,1,0,0
componentProps/m,0,1,1,0,0
componentProps/sx/maxWidth,0,0,0,1,0
componentProps/sx/marginLeft,0,1,1,1,0
componentProps/required,1,0,0,0,0
componentProps/dense,0,0,0,1,0
componentProps/sx/gap,0,1,1,1,0
componentProps/sx/py,0,1,1,1,1
componentProps/sx/transform,0,1,0,0,0
componentProps/tabIndex,0,0,0,0,1
componentProps/disableElevation,0,0,1,0,0
componentProps/sx/fontweight,0,0,1,0,0
componentProps/indeterminate,0,0,0,0,1
componentProps/sx/wordWrap,0,0,1,0,0
componentProps/sx/&:hover /bgcolor,0,0,1,0,0
componentProps/labe,0,0,0,0,1
componentProps/label,1,1,0,0,1
componentProps/sx/margin,0,1,1,1,0
componentProps/sx/boxSizing,0,0,0,1,0
componentProps/sx/borderTop,0,0,0,1,0
componentProps/disabled,1,0,1,0,1
componentProps/sx/overflow,0,0,0,1,0
componentProps/sx/p,0,1,1,1,0
componentProps/sx/dsplay,0,0,1,0,0
componentProps/sx/minWidth,0,0,1,1,0
componentProps/sx/&:hover/backgroundColor,0,0,1,0,0
componentProps/px,0,0,1,0,0
componentProps/inputProps/aria-labelledby,0,0,0,0,1
componentProps/sx/background,0,1,1,1,0
componentProps/sx/paddingBottom,0,0,1,1,0
componentProps/className,1,1,0,0,0
componentProps/sx/right,0,1,1,1,0
componentProps/textColor,0,1,0,0,0
componentProps/sx/borderRadius,0,1,1,1,0
componentProps/sx/textTransform,0,0,1,0,0
componentProps/sx/marginRight,0,1,1,0,0
componentProps/variat,0,0,1,0,0
componentProps/sx/borderBottomLeftRadius,0,0,1,0,0
componentProps/mr,0,1,0,0,0
componentProps/ml,0,1,0,0,0
componentProps/sx/border,0,1,1,1,0
componentProps/sx/mb,0,1,1,1,1
componentProps/p,0,0,1,0,0
componentProps/fontWeight,0,1,0,0,0
componentProps/varaiant,0,0,1,0,0
componentType,1,1,1,1,1
componentProps/sx/flexDirection,0,0,1,1,0
componentProps/sx/stroke,0,1,0,0,0
componentProps/varaint,0,0,1,0,0
componentProps/sx/display,0,0,1,1,0
componentProps/sx/pt,0,0,0,1,0
componentProps/style/width,0,0,1,0,0
componentProps/sx/widh,0,0,1,0,0
componentProps/raised,0,0,0,1,0
componentProps/sx/bgcolor,0,1,1,1,0
componentProps/sx/dosplay,0,0,1,0,0
componentProps/sx/marginTop,0,1,1,1,0
componentProps/mb,0,0,1,0,0
componentProps/sx/flexWrap,0,0,0,1,0
componentProps/sx/fontWeight,0,1,1,1,0
componentProps/sx/fontFamily,0,0,1,1,0
componentProps/sx/overflowY,0,0,0,1,0
componentProps/sx/paddingRight,0,0,1,0,0
componentProps/sx/bottom,0,1,1,0,0
componentProps/sx/marginBottom,0,0,0,1,0
componentProps/sx/&:hover/color,0,0,1,0,0
componentProps/sx/alignitems,0,0,1,0,0
componentProps/sx/alignItems,0,1,1,1,1
componentProps/align,0,0,1,0,0
componentProps/indicator,0,1,0,0,0
componentProps/checked,1,0,0,0,1
componentProps/marginRight,0,1,0,0,0
componentProps/height,0,1,1,0,0
componentProps/sx/mr,0,1,1,1,0
componentProps/sx/& .MuiButton-startIcon/mr,0,0,1,0,0
componentProps/sx/pl,0,1,1,1,0
componentProps/selected,0,1,0,0,0
componentProps/sx/backgroundColor,0,1,1,1,0
componentProps/sx/zIndex,0,1,0,1,0
componentProps/value,0,1,0,0,0
componentProps/edge,0,0,0,0,1
componentProps/defaultChecked,1,0,0,0,1
componentProps/sx/top,0,1,1,1,0
componentProps/bgcolor,0,1,0,0,0
componentProps/sx/textAlign,0,1,1,1,0
componentProps/sx/strokeWidth,0,1,0,0,0
componentProps/name,0,0,0,0,1
componentProps/default,0,0,0,0,1
